CrimeDate,CrimeTime,CrimeCode,Location,Description,Inside/Outside,Weapon,Post,District,Neighborhood,Longitude,Latitude,Location 1,Premise,vri_name1,Total Incidents
05/19/2020,20:40:00,9S,1500 ABBOTSTON ST,SHOOTING,Outside,FIREARM,411.0,NORTHEAST,COLDSTREAM HOMESTEAD,-76.596111972215,39.323977180557996,,STREET,,1
05/18/2020,19:35:00,9S,300 SAINT PAUL PL,SHOOTING,Outside,FIREARM,111.0,CENTRAL,DOWNTOWN,-76.613934846802,39.292374120953,,HOSPITAL,,1
05/18/2020,09:07:00,9S,2400 N CHARLES ST,SHOOTING,Inside,FIREARM,514.0,NORTHERN,CHARLES VILLAGE,-76.616842699554,39.316407839757,,COMMON BUSINESS,,1
05/18/2020,23:53:00,9S,3600 REISTERSTOWN RD,SHOOTING,Outside,FIREARM,612.0,NORTHWEST,PARK CIRCLE,-76.660308522178,39.329063001443,,ALLEY,,1
05/15/2020,21:45:00,9S,3800 OLD YORK RD,SHOOTING,Outside,FIREARM,515.0,NORTHERN,WAVERLY,-76.607589034101,39.335741046639,,STREET,,1
05/15/2020,03:01:00,9S,1700 MONTPELIER ST,SHOOTING,Outside,FIREARM,411.0,NORTHEAST,COLDSTREAM HOMESTEAD,-76.59423366590299,39.319105410758,,DWELLING,,1
05/15/2020,21:45:00,9S,3800 OLD YORK RD,SHOOTING,Outside,FIREARM,515.0,NORTHERN,WAVERLY,-76.607589034101,39.335741046639,,STREET,,1
05/13/2020,16:36:00,9S,1200 W NORTH AV,SHOOTING,Outside,FIREARM,733.0,WESTERN,PENN NORTH,-76.6370474269,39.310370156079,,STREET,,1
05/13/2020,23:53:00,9S,6200 YORK RD,SHOOTING,Outside,FIREARM,533.0,NORTHERN,WOODBERRY,-76.609764275155,39.369215537168,,VEHICLE,,1
05/12/2020,21:52:00,9S,500 W HOFFMAN ST,SHOOTING,Outside,FIREARM,123.0,CENTRAL,UPTON,-76.62664042347299,39.300382255892,,STREET,Central,1
05/12/2020,23:29:00,9S,3600 KESWICK RD,SHOOTING,Inside,FIREARM,533.0,NORTHERN,WOODBERRY,-76.62802200679499,39.332177037425,,COMMON BUSINESS,,1
05/11/2020,14:08:00,9S,1800 N MOUNT ST,SHOOTING,Outside,FIREARM,533.0,WESTERN,WOODBERRY,-76.644987280359,39.308940399348,,STREET,Western,1
05/10/2020,21:15:00,9S,1800 ORLEANS ST,SHOOTING,Outside,FIREARM,321.0,SOUTHWEST,DUNBAR,-76.59131630689001,39.295328658036,,ALLEY,,1
05/09/2020,11:49:00,9S,900 E EAGER ST,SHOOTING,Outside,FIREARM,313.0,EASTERN,JOHNSTON SQUARE,-76.604805920816,39.301519477603,,STREET,,1
05/09/2020,00:25:00,9S,600 N GILMOR ST,SHOOTING,Outside,FIREARM,713.0,WESTERN,HARLEM PARK,-76.642828885475,39.295362385475,,STREET,Central,1
05/08/2020,15:16:00,9S,400 LAURENS ST,SHOOTING,Outside,FIREARM,131.0,CENTRAL,UPTON,-76.631952499257,39.307088524227,,VEHICLE,,1
05/07/2020,21:12:00,9S,300 CHEDWORTH LA,SHOOTING,Outside,FIREARM,832.0,SOUTHWEST,GWYNNS FALLS,-76.702085242775,39.280803951124,,STREET,,1
05/07/2020,21:12:00,9S,300 CHEDWORTH LA,SHOOTING,Outside,FIREARM,832.0,SOUTHWEST,GWYNNS FALLS,-76.702085242775,39.280803951124,,STREET,,1
05/07/2020,21:12:00,9S,300 CHEDWORTH LA,SHOOTING,Outside,FIREARM,832.0,SOUTHWEST,GWYNNS FALLS,-76.702085242775,39.280803951124,,STREET,,1
05/07/2020,21:12:00,9S,300 CHEDWORTH LA,SHOOTING,Outside,FIREARM,832.0,SOUTHWEST,GWYNNS FALLS,-76.702085242775,39.280803951124,,STREET,,1
05/06/2020,14:27:00,9S,800 N HILTON ST,SHOOTING,Outside,FIREARM,815.0,SOUTHWEST,EDMONDSON VILLAGE,-76.672919017192,39.296169146961,,STREET,,1
05/04/2020,23:50:00,9S,700 N GRANTLEY ST,SHOOTING,Outside,FIREARM,815.0,SOUTHWEST,EDMONDSON VILLAGE,-76.67735238995999,39.295286204632,,DWELLING,,1
05/04/2020,12:20:00,9S,1900 BELAIR RD,SHOOTING,Outside,FIREARM,331.0,EASTERN,SOUTH CLIFTON PARK,-76.584030485312,39.312695794841,,COMMON BUSINESS,,1
05/04/2020,00:01:00,9S,2400 GREENMOUNT AV,SHOOTING,Outside,FIREARM,311.0,EASTERN,BARCLAY,-76.609511181869,39.317613809762996,,DWELLING,,1
05/04/2020,18:05:00,9S,2500 SOUTHDENE AV,SHOOTING,Outside,FIREARM,923.0,SOUTHERN,LAKELAND,-76.650161364774,39.254838370768,,STREET,,1
05/03/2020,17:47:00,9S,1100 N Patterson Park Av,SHOOTING,Outside,FIREARM,322.0,EASTERN,MIDDLE EAST,-76.58550651712301,39.3039361469,,STREET,Eastern 2,1
05/02/2020,01:15:00,9S,900 E BELVEDERE AV,SHOOTING,Outside,FIREARM,533.0,NORTHERN,WOODBERRY,-76.60232192823399,39.361281554293,,STREET,,1
05/02/2020,23:34:00,9S,300 MARYDELL RD,SHOOTING,Outside,FIREARM,832.0,SOUTHWEST,GWYNNS FALLS,-76.689564077135,39.281498384422996,,STREET,,1
05/01/2020,02:00:00,9S,600 N Edgewood St,SHOOTING,Outside,FIREARM,815.0,SOUTHWEST,EDMONDSON VILLAGE,-76.67560573636,39.29411691205,,STREET,,1
05/01/2020,02:00:00,9S,600 N Edgewood St,SHOOTING,Outside,FIREARM,815.0,SOUTHWEST,EDMONDSON VILLAGE,-76.67560573636,39.29411691205,,STREET,,1
05/01/2020,21:25:00,9S,3000 S HANOVER ST,SHOOTING,Outside,FIREARM,922.0,SOUTHERN,MIDDLE BRANCH/REEBIRD PARKS,-76.614955708575,39.251391285527,,HOSPITAL,,1
05/01/2020,09:40:00,9S,300 W FAYETTE ST,SHOOTING,Outside,FIREARM,533.0,CENTRAL,GREENSPRING,-76.61996771212,39.290505124973,,STREET,,1
04/30/2020,07:46:00,9S,0 N Carey St,SHOOTING,Outside,FIREARM,711.0,WESTERN,HOLLINS PARK,-76.63809545292901,39.288624141641996,,STREET,,1
04/28/2020,09:51:00,9S,600 POPLAR GROVE ST,SHOOTING,Outside,FIREARM,832.0,SOUTHWEST,VIOLETVILLE,-76.664984486243,39.294523237226,,ALLEY,,1
04/28/2020,00:53:00,9S,2800 SPAULDING AV,SHOOTING,Outside,FIREARM,634.0,NORTHWEST,WOODMERE,-76.669590199925,39.351031585521,,STREET,,1
04/27/2020,20:19:00,9S,5100 GOVANE AV,SHOOTING,Outside,FIREARM,524.0,NORTHERN,WINSTON-GOVANS,-76.607780749433,39.350137345665004,,STREET,,1
04/27/2020,14:57:00,9S,1300 SHELLBANKS RD,SHOOTING,Outside,FIREARM,922.0,SOUTHERN,CHERRY HILL,-76.6319028085,39.25055067198,,STREET,,1
04/27/2020,23:23:00,9S,5300 SINCLAIR LA,SHOOTING,Inside,FIREARM,443.0,NORTHEAST,FRANKFORD,-76.541547531237,39.32368869125,,DWELLING,,1
04/25/2020,16:09:00,9S,3000 PRESSTMAN ST,SHOOTING,Outside,FIREARM,121.0,SOUTHWEST,UNIVERSITY OF MARYLA,-76.623694842265,39.288377775121,,STREET,,1
04/24/2020,15:59:00,9S,1900 BELAIR RD,SHOOTING,Outside,FIREARM,331.0,EASTERN,SOUTH CLIFTON PARK,-76.584030485312,39.312695794841,,PARKING LOT,,1
04/22/2020,22:30:00,9S,3400 WILKENS AV,SHOOTING,Inside,FIREARM,832.0,SOUTHWEST,SAINT AGNES,-76.67407790765701,39.273023094487,,COMMON BUSINESS,,1
04/22/2020,00:49:00,9S,400 FONTHILL AV,SHOOTING,Outside,FIREARM,832.0,SOUTHWEST,GWYNNS FALLS,-76.683427276311,39.283380766297,,STREET,,1
04/22/2020,17:49:00,9S,2500 E MONUMENT ST,SHOOTING,Outside,FIREARM,333.0,EASTERN,MILTON-MONTFORD,-76.58151855090999,39.298945587428,,STREET,Eastern 2,1
04/22/2020,17:55:00,9S,200 N CALHOUN ST,SHOOTING,Outside,FIREARM,724.0,WESTERN,SANDTOWN-WINCHESTER,-76.639655382091,39.291299960778,,STREET,,1
