CrimeDate,CrimeTime,CrimeCode,Location,Description,Inside/Outside,Weapon,Post,District,Neighborhood,Longitude,Latitude,Location 1,Premise,vri_name1,Total Incidents
07/01/2018,03:00:00,2A,3600 YOLANDO RD,RAPE,I,OTHER,412.0,NORTHEAST,EDNOR GARDENS-LAKESI,-76.600255287891,39.332354735902,,ROW/TOWNHOUSE-OCC,,1
07/01/2018,18:05:00,2A,4900 STAFFORD ST,RAPE,I,OTHER,833.0,SOUTHWEST,BEECHFIELD,-76.69523556367,39.28009912888,,ROW/TOWNHOUSE-OCC,,1
06/30/2018,22:30:00,2B,6500 REISTERSTOWN RD,RAPE,O,OTHER,631.0,NORTHWEST,REISTERSTOWN STATION,-76.702548688792,39.356176450671,,STREET,,1
06/30/2018,13:30:00,2A,1600 DUNDALK AVE,RAPE,I,OTHER,234.0,SOUTHEAST,MEDFORD/BROENING MAN,-76.532516071584,39.275266118617,,ROW/TOWNHOUSE-OCC,,1
06/28/2018,11:30:00,2A,300 S GILMOR ST,RAPE,O,OTHER,935.0,SOUTHERN,NEW SOUTHWEST/MOUNT CLARE,-76.642083989528,39.284271794354,,ALLEY,Tri-District,1
06/28/2018,20:00:00,2A,4800 BRIARCLIFT RD,RAPE,I,OTHER,823.0,SOUTHWEST,WEST HILLS,-76.70452325401,39.295101520246,,ROW/TOWNHOUSE-OCC,,1
06/28/2018,10:20:00,2B,1700 E 32ND ST,RAPE,,OTHER,411.0,NORTHEAST,COLDSTREAM HOMESTEAD,-76.591626461307,39.326860886781,,,,1
06/27/2018,22:30:00,2A,5100 ELMER AVE,RAPE,,OTHER,614.0,NORTHWEST,CENTRAL PARK HEIGHTS,-76.67763613456701,39.346782766535,,,Northwestern,1
06/27/2018,01:10:00,2A,2500 W PATAPSCO AVE,RAPE,I,OTHER,923.0,SOUTHERN,LAKELAND,-76.651957832683,39.252832856514004,,APT/CONDO - OCCUPIED,,1
06/27/2018,00:00:00,2A,5300 CARRIAGE CT,RAPE,,OTHER,823.0,SOUTHWEST,WESTGATE,-76.706659926314,39.283135696037995,,,,1
06/25/2018,18:30:00,2A,6500 PIONEER DR,RAPE,I,OTHER,423.0,NORTHEAST,HARFORD-ECHODALE-PER,-76.572261072641,39.36543518192,,ROW/TOWNHOUSE-OCC,,1
06/22/2018,15:00:00,2A,1600 N CALHOUN ST,RAPE,I,OTHER,734.0,WESTERN,SANDTOWN-WINCHESTER,-76.64254464893601,39.307300523848,,ROW/TOWNHOUSE-OCC,Western,1
06/21/2018,12:00:00,2A,3500 DORCHESTER RD,RAPE,,OTHER,625.0,NORTHWEST,ASHBURTON,-76.67412728305,39.326877604955,,,,1
06/21/2018,15:00:00,2A,200 E PRATT ST,RAPE,I,OTHER,112.0,CENTRAL,INNER HARBOR,-76.612056619081,39.286641768027,,HOTEL/MOTEL,,1
06/20/2018,01:30:00,2A,3000 SEAMON AVE,RAPE,,OTHER,922.0,SOUTHERN,CHERRY HILL,-76.617002784185,39.249789377556,,,,1
06/19/2018,23:11:00,2A,5700 EDGEPARK RD,RAPE,I,OTHER,415.0,NORTHEAST,LOCH RAVEN,-76.575930399009,39.357374532243,,ROW/TOWNHOUSE-OCC,,1
