CrimeDate,CrimeTime,CrimeCode,Location,Description,Inside/Outside,Weapon,Post,District,Neighborhood,Longitude,Latitude,Location 1,Premise,vri_name1,Total Incidents
11/17/2016,22:32:00,1A,5200 GWYNN OAK AV,HOMICIDE,Outside,FIREARM,622.0,NORTHWEST,HOWARD PARK,-76.703799659312,39.329941532951004,,STREET,,1
11/15/2016,19:32:00,1A,3000 OAKFIELD AV,HOMICIDE,Outside,FIREARM,624.0,NORTHWEST,WEST FOREST PARK,-76.685328479099,39.321141374088995,,STREET,,1
11/15/2016,15:56:00,1A,3100 W NORTH AV,HOMICIDE,Outside,FIREARM,811.0,SOUTHWEST,NORTHWEST COMMUNITY,-76.67026930699001,39.30884488212,,STREET,,1
11/15/2016,19:19:00,1A,3000 GREENMOUNT AV,HOMICIDE,Outside,FIREARM,513.0,NORTHERN,ABELL,-76.60947412715801,39.324838137216,,STREET,,1
11/11/2016,11:22:00,1A,800 W LEXINGTON ST,HOMICIDE,Outside,FIREARM,712.0,WESTERN,POPPLETON,-76.630145299513,39.291181108861,,,,1
11/09/2016,21:14:00,1A,2900 CHERRYLAND RD,HOMICIDE,Outside,FIREARM,922.0,SOUTHERN,CHERRY HILL,-76.625172029313,39.248916503948,,STREET,,1
11/09/2016,23:16:00,1A,4400 FREDERICK AV,HOMICIDE,Outside,FIREARM,822.0,SOUTHWEST,IRVINGTON,-76.68860769140001,39.28166090683,,,,1
11/08/2016,13:11:00,1A,1800 RUXTON AV,HOMICIDE,Outside,FIREARM,723.0,WESTERN,COPPIN HEIGHTS/ASHBU,-76.65510745639901,39.3085897428,,STREET,Western,1
11/07/2016,02:55:00,1A,3800 10TH ST,HOMICIDE,Outside,FIREARM,913.0,SOUTHERN,BROOKLYN,-76.596906726944,39.232269257685,,,Brooklyn,1
11/05/2016,15:04:00,1A,2800 KEYWORTH AV,HOMICIDE,Outside,FIREARM,613.0,NORTHWEST,PARK CIRCLE,-76.663191026532,39.332669684998,,DWELLING,,1
11/04/2016,12:52:00,1A,2000 BOYD ST,HOMICIDE,Outside,FIREARM,835.0,SOUTHWEST,BOOTH-BOYD,-76.648640029706,39.286645413658,,STREET,Tri-District,1
10/30/2016,03:46:00,1A,2400 LOYOLA NORTHWAY,HOMICIDE,Outside,FIREARM,533.0,NORTHERN,GREENSPRING,-76.658480811502,39.338179921538,,STREET,,1
10/29/2016,01:23:00,1A,3500 TOWANDA AV,HOMICIDE,Outside,FIREARM,612.0,NORTHWEST,PARK CIRCLE,-76.660506973057,39.327187190805,,STREET,,1
10/28/2016,02:02:00,1K,5100 CONANT WY,HOMICIDE,Outside,KNIFE,442.0,NORTHEAST,PARKSIDE,-76.55360986336099,39.320167446186,,PUBLIC AREA,,1
10/26/2016,16:28:00,1A,1500 PENNSYLVANIA AV,HOMICIDE,Outside,FIREARM,123.0,CENTRAL,UPTON,-76.633557877255,39.302746086365,,PARKING LOT,Central,1
10/24/2016,20:55:00,1A,3300 W BALTIMORE ST,HOMICIDE,Inside,FIREARM,835.0,SOUTHWEST,SAINT JOSEPHS,-76.672390695915,39.285880796229,,COMMON BUSINESS,,1
10/24/2016,12:54:00,1A,2200 POPLAR GROVE ST,HOMICIDE,Inside,FIREARM,811.0,WESTERN,WALBROOK,-76.666071173652,39.312983764639,,DWELLING,,1
10/24/2016,12:54:00,1A,2200 POPLAR GROVE ST,HOMICIDE,Inside,FIREARM,811.0,WESTERN,WALBROOK,-76.666071173652,39.312983764639,,DWELLING,,1
10/22/2016,22:12:00,1A,3400 JUNEWAY,HOMICIDE,Outside,FIREARM,434.0,NORTHEAST,BELAIR-EDISON,-76.569874396773,39.317805025262,,STREET,,1
10/21/2016,21:56:00,1A,1400 RAMSAY ST,HOMICIDE,Outside,FIREARM,935.0,SOUTHERN,NEW SOUTHWEST/MOUNT CLARE,-76.639332487105,39.283470132122,,STREET,Tri-District,1
10/19/2016,11:25:00,1K,4700 ALHAMBRA AV,HOMICIDE,Outside,KNIFE,524.0,NORTHERN,WILSON PARK,-76.60739028841,39.344614017398,,STREET,,1
10/18/2016,14:24:00,1A,2000 CECIL AV,HOMICIDE,Outside,FIREARM,312.0,EASTERN,EAST BALTIMORE MIDWA,-76.605314025255,39.313121820204,,STREET,,1
10/16/2016,17:58:00,1A,300 COLLINS AV,HOMICIDE,Outside,FIREARM,824.0,SOUTHWEST,IRVINGTON,-76.683618147077,39.281663482679,,STREET,,1
10/16/2016,16:12:00,1A,1800 MC KEAN AV,HOMICIDE,Outside,FIREARM,734.0,WESTERN,SANDTOWN-WINCHESTER,-76.647287400182,39.308867735454996,,ALLEY,Western,1
10/15/2016,14:08:00,1A,200 N MONASTERY AV,HOMICIDE,Outside,FIREARM,824.0,SOUTHWEST,ALLENDALE,-76.674767445137,39.289358905988,,STREET,,1
10/13/2016,19:57:00,1A,2100 WILKENS AV,HOMICIDE,Outside,FIREARM,834.0,SOUTHWEST,CARROLLTON RIDGE,-76.649274243853,39.281302042782,,STREET,Tri-District,1
10/12/2016,12:47:00,1A,2400 S PACA ST,HOMICIDE,Outside,FIREARM,921.0,SOUTHERN,MOUNT WINANS,-76.64363402298899,39.264394781184,,STREET,,1
10/12/2016,15:15:00,1O,2300 CALVERTON HEIGHTS AV,HOMICIDE,Inside,OTHER,723.0,WESTERN,BRIDGEVIEW/GREENLAWN,-76.654103458312,39.297810038396,,DWELLING,,1
